|          x           |          y           |  zx   |  nx   |  zy   |  ny   |   f   |  no   |         Out          |  zr   |  ng   |
|   0000000000001101   |   0000000000000110   |   1   |   0   |   1   |   0   |   1   |   0   |   0000000000000000   |   1   |   0   |
|   0000000000001101   |   0000000000000110   |   1   |   1   |   1   |   1   |   1   |   1   |   0000000000000001   |   0   |   0   |
|   0000000000001101   |   0000000000000110   |   1   |   1   |   1   |   0   |   1   |   0   |   1111111111111111   |   0   |   1   |
|   0000000000001101   |   0000000000000110   |   0   |   0   |   1   |   1   |   0   |   0   |   0000000000001101   |   0   |   0   |
|   0000000000001101   |   0000000000000110   |   1   |   1   |   0   |   0   |   0   |   0   |   0000000000000110   |   0   |   0   |
|   0000000000001101   |   0000000000000110   |   0   |   0   |   1   |   1   |   0   |   1   |   1111111111110010   |   0   |   1   |
|   0000000000001101   |   0000000000000110   |   1   |   1   |   0   |   0   |   0   |   1   |   1111111111111001   |   0   |   1   |
|   0000000000001101   |   0000000000000110   |   0   |   0   |   1   |   1   |   1   |   1   |   1111111111110011   |   0   |   1   |
|   0000000000001101   |   0000000000000110   |   1   |   1   |   0   |   0   |   1   |   1   |   1111111111111010   |   0   |   1   |
|   0000000000001101   |   0000000000000110   |   0   |   1   |   1   |   1   |   1   |   1   |   0000000000001110   |   0   |   0   |
|   0000000000001101   |   0000000000000110   |   1   |   1   |   0   |   1   |   1   |   1   |   0000000000000111   |   0   |   0   |
|   0000000000001101   |   0000000000000110   |   0   |   0   |   1   |   1   |   1   |   0   |   0000000000001100   |   0   |   0   |
|   0000000000001101   |   0000000000000110   |   1   |   1   |   0   |   0   |   1   |   0   |   0000000000000101   |   0   |   0   |
|   0000000000001101   |   0000000000000110   |   0   |   0   |   0   |   0   |   1   |   0   |   0000000000010011   |   0   |   0   |
|   0000000000001101   |   0000000000000110   |   0   |   1   |   0   |   0   |   1   |   1   |   0000000000000111   |   0   |   0   |
|   0000000000001101   |   0000000000000110   |   0   |   0   |   0   |   1   |   1   |   1   |   1111111111111001   |   0   |   1   |
|   0000000000001101   |   0000000000000110   |   0   |   0   |   0   |   0   |   0   |   0   |   0000000000000100   |   0   |   0   |
|   0000000000001101   |   0000000000000110   |   0   |   1   |   0   |   1   |   0   |   1   |   0000000000001111   |   0   |   0   |
|   0000000000000111   |   1111111111111110   |   1   |   0   |   1   |   0   |   1   |   0   |   0000000000000000   |   1   |   0   |
|   0000000000000111   |   1111111111111110   |   1   |   1   |   1   |   1   |   1   |   1   |   0000000000000001   |   0   |   0   |
|   0000000000000111   |   1111111111111110   |   1   |   1   |   1   |   0   |   1   |   0   |   1111111111111111   |   0   |   1   |
|   0000000000000111   |   1111111111111110   |   0   |   0   |   1   |   1   |   0   |   0   |   0000000000000111   |   0   |   0   |
|   0000000000000111   |   1111111111111110   |   1   |   1   |   0   |   0   |   0   |   0   |   1111111111111110   |   0   |   1   |
|   0000000000000111   |   1111111111111110   |   0   |   0   |   1   |   1   |   0   |   1   |   1111111111111000   |   0   |   1   |
|   0000000000000111   |   1111111111111110   |   1   |   1   |   0   |   0   |   0   |   1   |   0000000000000001   |   0   |   0   |
|   0000000000000111   |   1111111111111110   |   0   |   0   |   1   |   1   |   1   |   1   |   1111111111111001   |   0   |   1   |
|   0000000000000111   |   1111111111111110   |   1   |   1   |   0   |   0   |   1   |   1   |   0000000000000010   |   0   |   0   |
|   0000000000000111   |   1111111111111110   |   0   |   1   |   1   |   1   |   1   |   1   |   0000000000001000   |   0   |   0   |
|   0000000000000111   |   1111111111111110   |   1   |   1   |   0   |   1   |   1   |   1   |   1111111111111111   |   0   |   1   |
|   0000000000000111   |   1111111111111110   |   0   |   0   |   1   |   1   |   1   |   0   |   0000000000000110   |   0   |   0   |
|   0000000000000111   |   1111111111111110   |   1   |   1   |   0   |   0   |   1   |   0   |   1111111111111101   |   0   |   1   |
|   0000000000000111   |   1111111111111110   |   0   |   0   |   0   |   0   |   1   |   0   |   0000000000000101   |   0   |   0   |
|   0000000000000111   |   1111111111111110   |   0   |   1   |   0   |   0   |   1   |   1   |   0000000000001001   |   0   |   0   |
|   0000000000000111   |   1111111111111110   |   0   |   0   |   0   |   1   |   1   |   1   |   1111111111110111   |   0   |   1   |
|   0000000000000111   |   1111111111111110   |   0   |   0   |   0   |   0   |   0   |   0   |   0000000000000110   |   0   |   0   |
|   0000000000000111   |   1111111111111110   |   0   |   1   |   0   |   1   |   0   |   1   |   1111111111111111   |   0   |   1   |
